Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mauritania,MRT,2811.31,2557.07,2490.5,2116.49,2168.09,2281.5,2375.94,2419.33,2479.41,2543.14,2715.96,2791.53,2500.21,2379.03,2520.63,2590.35,2664.33,2773,2900.01,3710,3830,3730,3850,3750,3760,4050,4320,4560,4890,5150,5210,5260,5370,5300,5380,5520,5420,4950,5270,5530,5590,5760,5900,6120,6210,6560,6380,6360,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mauritius,MUS,52.24,51.39,48.19,42.5,38.47,39.64,41.41,32.77,35.25,40.15,37.47,38.11,36.57,38.68,42.95,45.44,45.86,46.32,47.08,50,40,40,40,40,40,40,40,40,40,40,30,30,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mexico,MEX,35425.64,35894.91,36084.28,37576.5,39630.14,40779.37,42025.39,42520.76,43525.66,45164.42,46857.26,48565.8,48704.43,49481.05,51559.81,52354.15,51297.24,51316.77,53649.13,55430,55010,54070,55220,55070,54380,52840,53410,54070,52650,53150,53210,54480,54830,54240,54260,54320,54830,55350,56130,56470,57460,55610,56360,56900,57820,58420,59360,60010,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,"Micronesia, Fed. Sts.",FSM,13.5,14.88,13.6,12.52,11.44,6.09,8.57,8.53,8.64,8.75,11.42,11.41,11.4,11.39,11.79,12.42,12.95,13.37,13.79,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Moldova,MDA,1658.35,1718.91,1771.01,1828.83,1881.14,1906.45,1915.09,1948.44,1965.57,1973.64,1973.01,1998.89,2040.68,2088.75,2122.44,2147.74,2189.65,2153.35,2196.44,2730,2680,2240,1940,2260,2160,2090,1790,1530,1460,1350,1240,1310,1340,1240,1140,1100,1070,870,830,860,870,810,770,780,750,730,740,700,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mongolia,MNG,5750.53,5810.49,5859.86,5915.9,6151.48,6212.79,6100.04,5951.86,6144.42,6143.69,5988.19,6032.65,6131.71,5972.86,5873.14,5874.62,5947.41,5986.5,6047.18,8240,8570,8400,8300,8170,8830,9380,9920,10210,10640,10790,9150,7320,7340,6990,7740,8640,9830,9910,10070,7910,9070,10180,10890,12530,13970,15000,15980,15910,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Montenegro,MNE,,,,,,,,,,,,,,,,,,,,700,680,570,560,550,570,570,570,560,520,450,430,420,410,410,370,390,380,360,350,330,300,310,300,310,320,310,310,300,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Morocco,MAR,6211.01,5884.83,5831,5647.36,5628.79,5513.41,5343.9,5630.66,5455.65,5739.93,5484.13,4147.5,4395.14,4126.03,4488.65,5041.72,5591.84,5122.93,5393.2,6450,6230,6030,5200,5420,5370,5610,5910,5800,6020,6260,6210,6130,6230,6340,6320,6440,6350,6420,6420,6600,6940,6950,7100,7240,7250,7320,7370,7500,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Mozambique,MOZ,4536.19,4931.5,5462.61,4563.52,5717.54,4806.28,5775.05,6156.51,8629.13,6777,5642.4,6516.47,6358.4,4403.99,4524.68,4296.11,6761.53,4083.66,4920.51,7570,7620,7680,7750,7790,7810,7670,6960,7930,7480,6820,7790,8650,8560,8200,9190,8560,9170,9570,8310,9170,8610,9170,9520,9620,8930,8240,8300,9130,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Myanmar,MMR,41015.3,39686.75,42560.37,41319.84,42089,41165,41340.23,42538.52,38956.34,41528.64,41489.96,40163.61,42184.02,40232.04,40282.25,40351.17,39806.64,39379.83,38174.29,35050,34460,36600,38460,39620,41130,40550,39330,39930,43360,44100,44950,45350,46460,48260,50780,54010,55330,56110,56910,57810,55870,55800,56510,57430,58810,59830,59900,58530,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Namibia,NAM,3432.73,3535.24,3633.9,3859.06,2943.62,2847.21,3335.38,3390.54,3798.81,3742.63,3056.33,2892.27,2783.58,2638.31,2649.53,2774.86,2893.85,2774.76,2952.17,4230,4350,4260,4110,4080,4050,3900,3810,4120,4150,4580,4360,3820,4070,4220,4600,5070,4710,3890,5220,4870,7130,7840,4370,3980,3850,4200,4170,3710,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Nauru,NRU,0.12,0.12,0.13,0.14,0.14,0.13,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.16,0.17,0.18,0.19,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Nepal,NPL,15465.52,15085.9,15779.19,15936.19,16252.96,16350.1,16509.2,16597.6,16527.44,17035.24,17073.57,16539.13,17067.89,17336.67,17282.23,16844.34,17324.94,17428.05,17216.06,14380,14300,13930,14460,14660,15410,15630,15770,15920,16110,16240,16280,16470,16710,16960,17160,17400,17440,18010,18420,18540,18890,19280,19220,19350,19160,19190,19730,19770,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Netherlands,NLD,8043.38,8466.89,9021.54,9814.42,10029.57,9984.56,10017.34,10486.02,10775.42,11319.16,11409.14,11594.83,11940.47,12016.62,11892.24,11974.82,11678.94,11190.49,11358.98,14490,14620,14420,14150,13920,13870,13580,13150,12790,12800,12380,12320,11730,11480,11430,11510,11360,11550,11990,12110,12170,12010,11940,12240,12560,13070,13150,12440,11890,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,New Caledonia,NCL,161,154.75,163.34,149.59,155.08,152.74,150.61,159.03,150.57,139.57,143.11,137.29,169.28,173.15,178.45,179.86,183.81,188.9,167.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,New Zealand,NZL,21872.23,22817.14,22412.91,22641.26,22750.46,22894.36,23207.5,23371.55,23335.38,24769.21,24867.66,24882.97,24676.3,25037.51,25052.62,25597.11,24471.71,24766.59,23717.1,27980,27400,27000,26870,27820,28480,27880,28010,27350,27600,26960,27190,27910,28280,28250,28220,28460,28240,27650,28020,28000,28120,28640,28530,28840,28010,28080,27850,27700,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Nicaragua,NIC,3200.75,3208.43,3337.41,3629.56,3772.43,3794.5,3937.14,3922.41,3692.47,3202.76,3203.46,3433.81,2958.92,3252.4,3260.86,2936.62,2677.68,2898.96,3447.64,4910,3910,4340,4880,4920,4220,4060,4430,4290,5100,5280,5300,5400,5710,5480,5760,5820,5820,5850,5910,6050,6630,6880,7250,7600,7900,7880,7710,8010,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Niger,NER,4399.75,4472.42,2821.88,2825.61,3050.18,3291.39,3571.29,3822.46,3910.66,4005.21,4052.84,4214.47,4333.87,2802.84,2320.52,2480,2402.77,2485.28,2594.77,6350,6600,6830,7150,7430,7710,8040,8370,8680,9030,9460,9860,10240,10680,11140,11570,11990,12550,13100,13710,13350,13910,14540,15310,16040,16690,17530,18340,19250,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Nigeria,NGA,13964.21,13974.66,15336.62,14387.68,14937.08,15290.3,16576.34,16659.18,17837.44,19664.36,19225.22,20066.66,20106.92,20340.45,20306.35,20402.37,20528.95,21048.84,23093.43,22650,24060,24320,24860,25820,26610,27370,28870,30240,30890,31390,31320,31630,32430,33240,34850,35280,34910,34730,33430,35890,39030,41120,41820,42730,43260,46160,45400,45780,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,North Macedonia,MKD,1239.94,1212.04,1192.91,1229.3,1274.88,1244.02,1211.39,1206.29,1185.56,1173.21,1175.31,1167.96,1162.36,1154.97,1149.8,1131.23,1139.11,1115.51,1067.29,1520,1470,1240,1240,1220,1220,1220,1150,1080,980,1000,950,940,930,960,910,930,930,920,870,900,930,870,860,870,900,910,910,890,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Northern Mariana Islands,MNP,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Norway,NOR,2040.89,2065.56,2095.61,2076.76,2018.52,2049.24,2093.72,2121.69,2149.64,2191.46,2252.73,2267.23,2241.34,2243.76,2218.64,2211.51,2185.35,2161.24,2164.63,2750,2800,2830,2800,2830,2860,2910,2900,2910,2870,2780,2770,2730,2730,2710,2670,2630,2580,2540,2520,2510,2490,2470,2460,2430,2470,2520,2520,2510,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Oman,OMN,93.49,104.72,118.61,135.71,152.93,171.31,188.5,200.86,216.01,235.04,251.61,257.41,267.36,265.31,283,286.19,291.43,294.67,296.97,370,390,420,440,470,480,500,520,540,580,580,600,610,630,640,680,690,710,720,730,760,780,790,990,1000,1020,1040,1060,1080,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Pakistan,PAK,44774.36,45292.39,45967.91,47305.99,48860.09,49801.41,51902.13,53780.88,54358.56,52924.74,54388.28,54895.18,55566.81,56117.09,55401.89,61406.67,61141.94,62565.63,63868.15,60520,61520,62160,64050,64980,66300,69480,71150,72990,75040,75980,76710,78850,81560,83560,85880,92280,94630,98930,101420,100400,106160,108300,112970,116590,119390,122760,126920,130300,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Panama,PAN,2096.91,2166.66,2191.62,2247.19,2275.55,2308.12,2281.05,2261.08,2305.95,2240.53,2282.79,2322.86,2303.12,2280.88,2259.21,2246.24,2226.89,2254.63,2261.67,2170,2190,2230,2250,2280,2280,2250,2130,2160,2140,2120,2390,2400,2380,2350,2430,2440,2380,2500,2540,2550,2670,2670,2660,2520,2410,2420,2360,2410,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Papua New Guinea,PNG,234.27,692.61,358.66,276,284.3,442.69,788.64,392.31,593.52,589.98,490.83,2518.91,933.43,436.66,435.72,832,1465.26,371.69,421.87,610,610,640,680,710,750,710,810,740,750,740,810,920,930,1020,890,960,890,900,930,960,950,970,960,1020,1080,980,1000,1100,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Paraguay,PRY,6585.24,7207.54,7097.95,7447.71,8065.11,9095.36,8653.64,9081.37,9044.38,9270.01,9651.98,10197.5,10490.23,10160.76,10683.61,10928.26,11636.42,11388.46,11554.47,13060,12080,12450,13510,14240,15240,14790,14850,14940,15030,14580,15550,14810,16160,14910,15600,15720,16830,16270,17750,18740,19150,20270,20700,21970,21610,21300,21910,20790,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Peru,PER,8557.69,7865.2,7776.82,7827.47,7871.95,8011.66,7903.23,7634.98,7848.89,7468.22,8108.07,8327.56,8035.78,8481.01,8221.51,8020.63,8541.79,8428.51,8401.09,12580,12310,12210,12240,12860,13410,13630,13730,14120,15110,15180,15270,15690,15890,15730,16680,16560,16850,17190,17560,17660,17640,17760,17690,17610,17690,17890,17970,18160,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Philippines,PHL,36529.52,35492.49,38639.32,37784.68,36697.8,35046.56,34533.76,34281.61,34382.59,33034.48,32536.79,30921.96,30095.8,30132.25,30863.07,30631.27,29209.59,29773.86,30127.85,36250,37060,35120,36090,39280,40620,42580,42160,36750,43800,44270,44650,44760,44670,45870,45340,46000,47110,48550,49280,47650,48600,49610,50000,49880,49250,48540,50680,50630,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Poland,POL,22764.07,23747.84,25283.21,26911.37,27377.54,26688.36,27042.61,27409.86,27168.31,26501.95,24807.64,25164.46,24167.84,24509.83,24507.59,24292.99,23427,23179.49,23940.79,25750,23470,21840,20090,19840,19090,18350,18670,17880,17000,16010,15360,15110,15070,14550,14840,15120,15150,14950,14560,14680,14380,14170,14140,14180,14250,13980,14410,14690,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Portugal,PRT,3481.76,3551.5,3596.74,3344.27,3314.02,3154.32,3513.84,3850.48,3931.35,4195.89,4244.45,4286.88,4154.5,3985.85,4044.74,4151.43,4129.17,4202.8,4214.53,5260,5190,5060,4850,5020,4980,5080,5070,5040,5050,4980,4650,4600,4600,4600,4660,4580,4590,4600,4580,4450,4560,4540,4470,4590,4750,4780,4940,4780,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Puerto Rico,PRI,725.3,730.22,738.12,714.93,716.27,744.02,763.74,754.91,711.29,655.88,676.34,728.87,780.06,800.73,809.95,827.31,743.42,790.81,831.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Qatar,QAT,21.5,22.25,23.17,23.22,24.44,25.96,28.3,26.75,30.34,30.49,29.62,17.65,20.09,23.49,33.6,48,56.12,56.77,58.85,70,80,90,110,120,120,120,130,130,130,130,90,90,90,100,60,80,90,90,120,130,150,160,190,150,250,300,330,200,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Romania,ROU,12491.09,12960.97,13505.32,13709.03,13739.2,14171.17,14896.11,14854.26,15510.26,15495.18,15884.69,15899.43,15961.36,17338.3,17958.19,17052.88,17087.34,16892.62,16375.48,18270,16400,14480,12460,12660,11670,11610,11350,10850,10580,10230,9750,9490,9740,9850,9850,10040,10200,10100,9820,9420,8150,8110,8150,8230,8340,8400,8280,8150,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Russian Federation,RUS,103406.57,107017.01,109596.41,113148.83,116364.94,116833.15,117349.05,119727.66,120992.66,121814.86,121689.1,123445.77,126048.94,129113.77,130654.69,131420.7,133844.59,131687.04,133292.13,149570,146650,133740,128090,119640,106330,96840,84980,78630,70670,69830,68790,68610,69920,62260,58700,56320,56170,58050,55790,55750,54340,55080,53820,54350,52830,51960,50660,51140,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Rwanda,RWA,603.74,603.62,625.59,585.28,597.38,566.79,580.55,605.52,624.79,626.97,613.7,637.08,649.25,614.49,645.79,625.39,626.7,603.91,627.48,740,770,740,700,660,540,600,650,730,830,820,900,940,1090,1180,1240,1380,1460,1570,1600,1720,1590,1570,1580,1570,1820,1690,1690,1750,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Samoa,WSM,38.48,38.4,38.7,41,43.96,45.1,44.98,46.4,48.21,50.5,53.5,56.86,58.13,60.85,66.47,75.56,83.24,83.49,82.91,110,110,110,110,110,110,110,110,110,110,110,120,120,130,130,130,130,120,120,120,130,140,140,140,150,160,150,150,150,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sao Tome and Principe,STP,3.05,2.56,2.79,2.56,2.73,3.13,3.03,3.06,3.09,3.13,3.3,3.43,3.56,3.67,3.79,3.87,3.93,4,4.08,,,,,,,,,,,10,10,10,10,10,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Saudi Arabia,SAU,667.73,701.03,798.45,924.16,984.22,1058.94,1068.72,1201.58,1294.02,1331.55,1282.62,1504.58,1718.91,1788.83,1774.37,1884.19,1815.71,1765.67,1768.29,2020,2090,2180,2250,2330,2360,2390,2400,2330,2190,2280,2330,2350,2370,2550,2610,2500,2530,2270,2050,2320,2550,2610,2810,2700,2740,2770,2800,2820,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Senegal,SEN,3239.01,2980,2898.43,2780.13,2906.67,2963.61,3096.08,3088.17,3075.92,3058.03,2914.15,3098.86,2825.48,2855.43,2952.86,3149.69,3370.88,3296.02,3463.98,4750,4870,4960,5080,5180,5220,5480,5410,5270,5670,6070,5750,5350,5040,5570,5770,5960,5650,5950,5920,6190,6300,6040,6290,6160,6180,6480,6510,6360,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Serbia,SRB,,,,,,,,,,,,,,,,,,,,7530,7280,6090,6050,5850,6160,6150,6070,5970,5550,4830,4570,4470,4400,4360,3920,4050,4070,3930,3750,3620,3540,3470,3400,3480,3440,3310,3310,3240,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Seychelles,SYC,2.52,2.83,2.92,3.11,3.29,3.31,3.09,3.3,3.48,3.68,3.89,3.6,3.41,3.32,3.71,3.86,3.91,4.05,4.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sierra Leone,SLE,1523.5,1482.06,1522.41,1435.87,1484.69,1541.87,1639.82,1571.75,1540.19,1681.27,1531.44,1610.98,1461.97,1310.16,1283.68,1276.54,1323.87,1329.45,1395.18,1600,1570,1560,1630,1570,1470,1080,1090,1030,880,830,1170,1400,1790,2060,2180,2860,2310,1980,2150,2050,2290,2850,2690,2890,2860,3030,2940,2770,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Singapore,SGP,102.19,114.95,140.31,111.2,99.38,98.48,126.13,121.14,117.95,112.91,97.86,89.52,123.66,89.04,72.96,66.02,75.23,50.49,39.09,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sint Maarten (Dutch part),SXM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Slovak Republic,SVK,3059.25,3139.33,3245.55,3321.6,3360.48,3350.54,3424.09,3530.46,3613.96,3651.62,3714.46,3746.91,3788.34,3835.77,3805.57,3791.97,3825.75,3852.05,3907.17,3850,3680,3280,2850,2460,2290,2320,2230,2020,1790,1690,1640,1610,1570,1520,1380,1350,1300,1280,1220,1190,1180,1160,1170,1160,1150,1130,1100,1090,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Slovenia,SVN,1387.27,1391.88,1454.31,1559.3,1614.91,1597.31,1585.32,1587.73,1584.92,1583.14,1601.37,1604.46,1573.5,1580.04,1543.9,1496.04,1507.99,1467.94,1431.06,1630,1570,1310,1330,1290,1290,1320,1260,1230,1130,1150,1200,1170,1180,1120,1110,1090,1090,1130,1090,1090,1070,1050,1040,1030,1040,1070,1070,1060,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Solomon Islands,SLB,1592.32,1611.1,1645.58,1543.58,1685.79,1661.7,1774.87,1909.39,1865.68,1893.68,2002.36,2104.24,1991.78,2022.67,2095.99,2115.23,2147.43,2237.26,2210.42,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Somalia,SOM,8433.44,8605.42,8461.51,8425.98,9055.3,9024.61,9607.84,10316.7,10238.15,10123.5,10472.88,10750.01,10432.59,10592.37,10987.64,11063.33,11526.62,12050.11,11991.64,15890,13970,12660,13900,15080,15500,15840,16140,16170,16330,16480,16790,16990,17090,17250,17490,16610,15870,15840,15810,15870,15960,16120,16140,16220,16230,16150,15990,15950,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,South Africa,ZAF,15753.98,15969.18,16621.86,17057.91,17860.2,17722.03,17971.48,17843.46,18789.14,17958.45,17439.45,17940.58,18176.48,17792.66,16934.96,16848.81,17325.27,17441.29,18144.12,17710,17890,17670,17090,16670,16690,17310,17610,18060,17910,17780,17410,17660,16960,16610,17380,16640,17130,17240,17220,17280,17100,17360,17000,16950,16520,15920,15960,15600,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,South Sudan,SSD,,,,,,,,,,,,,,,,,,,,13930,14390,15770,16970,17980,18410,19110,19810,20920,21600,22810,21430,22460,23110,23540,24350,23560,24550,24470,24810,23950,23800,25760,25240,25570,25710,26310,25250,26610,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Spain,ESP,13462.91,13544.57,14152.46,13839.99,13798.71,13974.75,14252.67,14544.23,14188.87,14480.44,14425.54,15799.76,15405.21,15671.47,15508.35,16382.51,15557.58,17607.2,17422.17,22250,22190,22030,21480,21570,21820,22320,23590,23930,24270,24740,25160,25400,25580,25730,25280,24750,25280,23700,24090,23610,22950,22490,22330,23020,23890,24050,24360,24660,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sri Lanka,LKA,8975.56,8379.02,8598.31,9711.3,7902.42,8241.16,9328.86,9606.03,9179.08,9385.58,9562.9,8622.06,8812.07,9655.38,9431.68,9069.2,7864.62,8702.77,7719.24,5360,4830,4950,5060,5270,5220,4520,4490,3690,3990,3810,3620,3730,4000,3560,4120,4100,3880,4500,4250,4650,4730,4760,4980,4010,4330,4500,3620,4450,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,St. Kitts and Nevis,KNA,10.78,10.61,10.29,10.34,10.21,10.87,10.92,10.98,10.99,10.81,10.6,10.69,10.25,10.28,10.07,10.01,10.02,9.81,9.32,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,10,,,10,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,St. Lucia,LCA,13.7,13.28,13.09,12.83,12.85,13.32,13.93,14.55,15.21,15.89,16.6,17.35,18.15,18.97,19,19.07,19.17,19.16,19.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,St. Vincent and the Grenadines,VCT,10.12,10.22,10.45,10.57,10.72,10.95,11.12,11.37,11.51,11.72,12.06,12.31,12.86,13.5,12.84,12.24,10.87,12.13,11.45,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sudan,SDN,26317.84,26285.41,28957.36,24984.98,27150.87,27959.09,30760.61,28174.13,30993.88,36532.18,33557.64,37709.07,35829.58,36054.45,33980.51,32613.82,33286.07,31706.52,33945.28,25180,26020,28500,30680,32500,33290,34540,35810,37820,39050,41240,38750,40610,41780,42570,44020,42600,44390,44240,44870,43300,43040,46150,46290,46240,46790,47020,47190,47430,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Suriname,SUR,497.1,457.21,529.35,513.22,536.93,538.31,543.01,600.04,635.87,690.47,740.79,748.43,745.57,750.65,742.13,739.01,703.4,687.17,685.88,520,580,640,570,590,600,590,530,520,520,460,500,380,450,440,390,400,370,390,490,470,500,480,490,520,500,510,490,460,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Sweden,SWE,3464.92,3489.97,3549.64,3584.47,3555.5,3550.62,3575.44,3616.96,3669.98,3728.17,3726.96,3757.72,3711.11,3692.26,3576.13,3384.07,3253.46,3272.79,3347.43,4380,4270,4390,4450,4460,4330,4330,4310,4190,4110,4000,3930,3890,3830,3850,3800,3740,3650,3640,3580,3570,3540,3500,3480,3480,3380,3380,3380,3300,,
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,Switzerland,CHE,3573.46,3613.25,3751.5,3816.12,3788.73,3855.27,3866.02,3902.67,3931.92,3940.17,3824.55,3811.71,3831.46,3839.77,3804.37,3768.91,3679.57,3666.73,3693.85,4870,4820,4720,4630,4640,4570,4540,4380,4340,4240,4190,4230,4190,4110,4040,4080,4100,4090,4160,4090,4090,4060,4030,4000,3990,3950,3930,3900,3880,,
